colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/Shan/7/97_F12/02	B/Victoria/304/2006	B/Shandong/7/1997	B/Victoria/304/2006	1997	2006	40	MRC2009SepVic
B/Shan7/97	B/Pennsylvania/5/2007	B/Shandong/7/1997	B/Pennsylvania/5/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/HongKong/121/2007	B/Shandong/7/1997	B/HongKong/121/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Osaka/16/2007	B/Shandong/7/1997	B/Osaka/16/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Odessa/394/2007	B/Shandong/7/1997	B/Odessa/394/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Khabarovsk/26/2007	B/Shandong/7/1997	B/Khabarovsk/26/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Tula/3/2007	B/Shandong/7/1997	B/Tula/3/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Astrakhan/88/2007	B/Shandong/7/1997	B/Astrakhan/88/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Johannesburg/18/2007	B/Shandong/7/1997	B/Johannesburg/18/2007	1997	2007	320	MRC2007SepVic
B/Shan7/97	B/Victoria/500/2007	B/Shandong/7/1997	B/Victoria/500/2007	1997	2007	80	MRC2007SepVic
B/Shan7/97	B/Johannesburg/150/2007	B/Shandong/7/1997	B/Johannesburg/150/2007	1997	2007	80	MRC2007SepVic
B/Shan/7/97_F12/02	B/Hiroshima/320/2007	B/Shandong/7/1997	B/Hiroshima/320/2007	1997	2007	160	MRC2008MarVic
B/Shan/7/97_F12/02	B/Egypt/80/2007	B/Shandong/7/1997	B/Egypt/80/2007	1997	2007	160	MRC2008MarVic
B/Shan/7/97_F12/02	B/Egypt/80/2007	B/Shandong/7/1997	B/Egypt/80/2007	1997	2007	160	MRC2008MarVic
B/Shan/7/97_F12/02	B/Jiangxi/1792/2007	B/Shandong/7/1997	B/Jiangxi/1792/2007	1997	2007	80	MRC2008SepVic
B/Shan/7/97_F12/02	B/HongKong/998/2008	B/Shandong/7/1997	B/HongKong/998/2008	1997	2008	40	MRC2008SepVic
B/Shan/7/97_F12/02	B/Hubei/1146/2008	B/Shandong/7/1997	B/Hubei/1146/2008	1997	2008	<40	MRC2008SepVic
B/Shan/7/97_F12/02	B/England/393/2008	B/Shandong/7/1997	B/England/393/2008	1997	2008	80	MRC2009FebVic
B/Shan/7/97_F12/02	B/Brisbane/60/2008	B/Shandong/7/1997	B/Brisbane/60/2008	1997	2008	80	MRC2009FebVic
B/Shan/7/97_F12/02	B/Brisbane/33/2008	B/Shandong/7/1997	B/Brisbane/33/2008	1997	2008	80	MRC2009FebVic
B/Shan/7/97_F12/02	B/Texas/26/2008	B/Shandong/7/1997	B/Texas/26/2008	1997	2008	40	MRC2009FebVic
B/Shan/7/97_F12/02	B/Bayern/36/2008	B/Shandong/7/1997	B/Bayern/36/2008	1997	2008	<10	MRC2009FebVic
B/Shan/7/97_F12/02	B/England/393/2008	B/Shandong/7/1997	B/England/393/2008	1997	2008	40	MRC2009SepVic
B/Shan/7/97_F12/02	B/Brisbane/33/2008	B/Shandong/7/1997	B/Brisbane/33/2008	1997	2008	40	MRC2009SepVic
B/Shan/7/97_F12/02	B/Brisbane/60/2008	B/Shandong/7/1997	B/Brisbane/60/2008	1997	2008	80	MRC2009SepVic
B/Shan/7/97_F12/02	B/Iwate/17/2009	B/Shandong/7/1997	B/Iwate/17/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Hubei/37/2009	B/Shandong/7/1997	B/Hubei/37/2009	1997	2009	40	MRC2009SepVic
B/Shan/7/97_F12/02	B/Belgrade/1094/2009	B/Shandong/7/1997	B/Belgrade/1094/2009	1997	2009	10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Singapore/21/2009	B/Shandong/7/1997	B/Singapore/21/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/HongKong/235/2009	B/Shandong/7/1997	B/HongKong/235/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Okinawa/10/2009	B/Shandong/7/1997	B/Okinawa/10/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Sabac/1232/2009	B/Shandong/7/1997	B/Sabac/1232/2009	1997	2009	10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Norway/1474/2009	B/Shandong/7/1997	B/Norway/1474/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Madagascar/4254/2009	B/Shandong/7/1997	B/Madagascar/4254/2009	1997	2009	<10	MRC2009SepVic
B/Shan/7/97_F12/02	B/Mauritius/515/2009	B/Shandong/7/1997	B/Mauritius/515/2009	1997	2009	<10	MRC2009SepVic
B/Aichi/3/1998	B/Nagasaki/1/1987	B/Aichi/3/1998	B/Nagasaki/1/1987	1998	1987	32	Muyanga2001
B/Aichi/3/1998	B/Aichi/5/1988	B/Aichi/3/1998	B/Aichi/5/1988	1998	1988	<8	Muyanga2001
B/Aichi/3/1998	B/Shandong/7/1997	B/Aichi/3/1998	B/Shandong/7/1997	1998	1997	32	Muyanga2001
B/Aichi/3/1998	B/Aichi/15/1997	B/Aichi/3/1998	B/Aichi/15/1997	1998	1997	32	Muyanga2001
B/Aichi/3/1998	B/Aichi/3/1998	B/Aichi/3/1998	B/Aichi/3/1998	1998	1998	64	Muyanga2001
B/Aichi/3/1998	B/Aichi/20/1999	B/Aichi/3/1998	B/Aichi/20/1999	1998	1999	64	Muyanga2001
B/HK/330/01	B/Shandong/7/1997	B/HongKong/330/2001	B/Shandong/7/1997	2001	1997	80	MRC2002
B/HK/335/01	B/Shandong/7/1997	B/HongKong/335/2001	B/Shandong/7/1997	2001	1997	160	MRC2002
B/HK/335/01	B/Shandong/7/1997	B/HongKong/335/2001	B/Shandong/7/1997	2001	1997	640	MRC2003
B/HK/335/01	B/Shandong/7/1997	B/HongKong/335/2001	B/Shandong/7/1997	2001	1997	160	Ansaldi2004
B/HK/330/2001	B/Shandong/7/1997	B/HongKong/330/2001	B/Shandong/7/1997	2001	1997	5120	Puzelli2004
B/HongKong/22/2001	B/Beijing/243/1997	B/HongKong/22/2001	B/Beijing/243/1997	2001	1997	160	Shaw2002
